ticker,name,market_cap
0120G0,삼양바이오팜,742843413000
381970,케이카,731824511520
017940,E1,725102000000
383800,LX홀딩스,720852520500
042520,한스바이오메드,720199033500
053800,안랩,719884938200
005880,대한해운,714885358100
060280,큐렉소,705515128300
272290,이녹스첨단소재,704442710300
460930,현대힘스,698139791860
252990,샘씨엔에스,694914439060
005389,현대차3우B,693580696000
015750,성우하이텍,691200000000
002840,미원상사,689700000000
336570,원텍,687362373080
016610,DB증권,687207037910
211050,인카금융서비스,686735378580
058650,세아홀딩스,685804524000
008730,율촌화학,679520000000
090460,비에이치,679287490700
099190,아이센스,679154979600
044490,태웅,675249108750
168360,펨트론,671645360200
041190,우리기술투자,671160000000
053610,프로텍,671000000000
251970,펌텍코리아,669600000000
268280,미원에스씨,669500000000
041960,코미팜,669411644700
005420,코스모화학,660237439320
093050,LF,659362000000
005090,SGC에너지,656345118150
950210,프레스티지바이오파마,655048089500
278280,천보,652186844400
064260,다날,650508696630
125490,한라캐스트,649741865600
019170,신풍제약,642707928700
094800,맵스리얼티,636843510660
119850,지엔씨에너지,633282996500
001570,금양,633275240400
039440,에스티아이,632687517600
200710,에이디테크놀로지,631718634000
025320,시노펙스,631258345550
016590,신대양제지,628243013800
006220,제주은행,626322089490
004690,삼천리,626095860000
336370,솔루스첨단소재,624934361600
389650,넥스트바이오메디컬,621034170200
006380,카프로,618539985360
356860,티엘비,617489164000
002240,고려제강,616950000000
178920,PI첨단소재,616692762000
094170,동운아나텍,614752118400
045100,한양이엔지,612900000000
018290,브이티,611831583380
452260,한화갤러리아,611627069550
003030,세아제강지주,608823579000
424870,이뮨온시아,608153565800
052020,에스티큐브,607090788630
002030,아세아,606248955000
104830,원익머트리얼즈,605184000000
009900,명신산업,603406529500
002960,한국쉘석유,603200000000
494120,큐리오시스,600178781600
016380,KG스틸,598053204060
318060,그래피,596448847200
001820,삼화콘덴서,595633500000
083450,GST,594367500000
029530,신도리코,591697702300
005810,풍산홀딩스,587504649000
284740,쿠쿠홈시스,583370580000
377740,바이오노트,578657792160
376270,HEM파마,578129023500
077360,덕산하이메탈,573869335260
105630,한세실업,573200000000
271940,일진하이솔루스,572659006300
093320,케이아이엔엑스,571936000000
009410,태영건설,571372949760
000070,삼양홀딩스,570594538500
206650,유바이오로직스,570312957710
036620,감성코퍼레이션,568363681880
079370,제우스,566680407300
095660,네오위즈,566091534400
488900,비츠로넥스텍,562722523060
089010,켐트로닉스,559621812750
031330,에스에이엠티,558972424530
034310,NICE,558708786400
